class,precision,recall,f1,support
Potato White,0.8823529411764706,1.0,0.9375,150
Quince,0.9378531073446328,1.0,0.967930029154519,166
Rambutan,0.841025641025641,1.0,0.9136490250696379,164
Raspberry,1.0,1.0,1.0,166
Redcurrant,1.0,1.0,1.0,164
Salak,0.903954802259887,0.9876543209876543,0.943952802359882,162
Strawberry,1.0,0.75,0.8571428571428571,164
Strawberry Wedge,0.8111111111111111,0.8902439024390244,0.8488372093023255,246
Tamarillo,1.0,1.0,1.0,166
Tangelo,0.9273743016759777,1.0,0.9623188405797102,166
Tomato 1,1.0,0.9959349593495935,0.9979633401221996,246
Tomato 2,1.0,1.0,1.0,225
Tomato 3,0.9959514170040485,1.0,0.9979716024340771,246
Tomato 4,1.0,1.0,1.0,160
Tomato Cherry Red,0.9879518072289156,1.0,0.9939393939393939,164
Tomato Heart,0.9620253164556962,1.0,0.9806451612903225,228
Tomato Maroon,1.0,1.0,1.0,127
Tomato Yellow,1.0,1.0,1.0,153
Tomato not Ripened,0.9279279279279279,0.6518987341772152,0.7657992565055762,158
Walnut,0.97265625,1.0,0.9861386138613861,249
Watermelon,1.0,1.0,1.0,157
